Data;TLP
01/01/2018;4,74
01/02/2018;4,81
01/03/2018;4,75
01/04/2018;4,59
01/05/2018;4,47
01/06/2018;4,52
01/07/2018;4,87
01/08/2018;5,27
01/09/2018;5,49
01/10/2018;5,56
01/11/2018;5,43
01/12/2018;5,22
01/01/2019;4,84
01/02/2019;4,52
01/03/2019;4,31
01/04/2019;4,09
01/05/2019;4,04
01/06/2019;4
01/07/2019;3,83
01/08/2019;3,41
01/09/2019;3,08
01/10/2019;2,9
01/11/2019;2,72
01/12/2019;2,54
01/01/2020;2,4
01/02/2020;2,42
01/03/2020;2,47
01/04/2020;2,67
01/05/2020;2,86
01/06/2020;3,05
01/07/2020;2,79
01/08/2020;2,4
01/09/2020;2,07
01/10/2020;2,02
01/11/2020;2,21
01/12/2020;2,47
01/01/2021;2,53
01/02/2021;2,52
01/03/2021;2,5
01/04/2021;2,81
01/05/2021;3,19
01/06/2021;3,46
01/07/2021;3,6
01/08/2021;3,65
01/09/2021;3,95
01/10/2021;4,26
01/11/2021;4,62
01/12/2021;4,94
01/01/2022;5,09
01/02/2022;5,22
01/03/2022;5,24
01/04/2022;5,43
01/05/2022;5,44
01/06/2022;5,5
01/07/2022;5,48
01/08/2022;5,7
01/09/2022;5,75
01/10/2022;5,79
01/11/2022;5,68
01/12/2022;5,75
01/01/2023;5,93
01/02/2023;6,08
01/03/2023;6,15
01/04/2023;6,05
01/05/2023;5,93
01/06/2023;5,69
