,Model Index,ANO,Accuracy,AUC,KS Score,F1 score,Recall,Precision,False positive rate,True positive rate
0,0,2002,0.881578947368421,0.9174242424242425,0.7393939393939394,0.9291338582677166,0.8939393939393939,0.9672131147540983,0.2,0.8939393939393939
1,0,2003,0.8333333333333334,0.8955078125,0.625,0.8823529411764706,0.9375,0.8333333333333334,0.375,0.9375
2,0,2004,0.8153846153846154,0.92,0.7095238095238096,0.8333333333333334,0.8571428571428571,0.8108108108108109,0.23333333333333334,0.8571428571428571
3,0,2005,0.6203703703703703,0.7213007420340463,0.4535137494543867,0.5060240963855421,0.7241379310344828,0.3888888888888889,0.4177215189873418,0.7241379310344828
4,0,2006,0.7410071942446043,0.8289652825051056,0.6991150442477876,0.5384615384615384,0.8076923076923077,0.40384615384615385,0.2743362831858407,0.8076923076923077
5,0,2007,0.6686390532544378,0.8223684210526315,0.5737259816207184,0.5,0.7777777777777778,0.3684210526315789,0.3609022556390977,0.7777777777777778
6,0,2008,0.7252747252747253,0.8147250698974837,0.6212488350419385,0.5454545454545454,0.8108108108108109,0.410958904109589,0.296551724137931,0.8108108108108109
7,0,2009,0.7394636015325671,0.8737118145012881,0.645748987854251,0.5584415584415584,0.8269230769230769,0.4215686274509804,0.2822966507177033,0.8269230769230769
8,0,2010,0.6926605504587156,0.8335465302206588,0.524784138151583,0.6081871345029239,0.8813559322033898,0.4642857142857143,0.37735849056603776,0.8813559322033898
9,0,2011,0.7254901960784313,0.8270857362552865,0.5882352941176471,0.5394736842105263,0.803921568627451,0.40594059405940597,0.29411764705882354,0.803921568627451
10,0,2012,0.7362637362637363,0.8479983319432861,0.6153461217681401,0.5714285714285713,0.8727272727272727,0.4247787610619469,0.2981651376146789,0.8727272727272727
11,0,2013,0.7394366197183099,0.8468377976190476,0.5886904761904762,0.5888888888888889,0.8833333333333333,0.44166666666666665,0.29910714285714285,0.8833333333333333
12,0,2014,0.7211155378486056,0.8634924941219027,0.6298607343100018,0.5783132530120482,0.8421052631578947,0.44036697247706424,0.31443298969072164,0.8421052631578947
13,0,2015,0.7250996015936255,0.8570847851335657,0.6660859465737514,0.481203007518797,0.7804878048780488,0.34782608695652173,0.2857142857142857,0.7804878048780488
14,0,2016,0.8188405797101449,0.8841886269070736,0.7486823855755894,0.6835443037974683,0.7714285714285715,0.6136363636363636,0.1650485436893204,0.7714285714285715
15,0,2017,0.8816338553684521,0.9323136543226207,0.8043404981429519,0.5424179161131144,0.7762085822922324,0.4168611435239207,0.10789075993091538,0.7762085822922324
16,0,2018,0.8828786175060661,0.9283192416083069,0.7963791573228075,0.5070983810709838,0.7307968413496052,0.3882532418001526,0.10345717234262126,0.7307968413496052
17,0,2019,0.9082883408726106,0.9431480520597388,0.8288755934381803,0.5064782096584217,0.7222844344904815,0.3899637243047158,0.07874814641379849,0.7222844344904815
18,0,2020,0.9166953646945382,0.9491077131718373,0.8333257556897952,0.5162967406518697,0.7567409144196952,0.39180576631259484,0.07332064978779453,0.7567409144196952
19,0,2021,0.9048590407448088,0.9363749696498628,0.8102187353702367,0.47412546978895637,0.7360861759425493,0.34968017057569295,0.08469869480699806,0.7360861759425493
20,0,2022,0.9148252989141915,0.9504608430387823,0.8472848759889162,0.4836065573770492,0.7588424437299035,0.3548872180451128,0.07652173913043478,0.7588424437299035
